અયોધાતુ,અ-યોધા-તુ
ખબ્બડ,ખબ્બડ
અશ્વચેષ્ટિત,અ-શ્-વ-ચે-ષ્-ટિત
પાટલાઘો,પાટ-લાઘો
અંતર્મુખ,અં-તર્મુખ
સપ્તાચલ,સપ્-તાચ-લ
તત્ત્વદર્શી,તત્ત્વદર્શી
અણખ,અણ-ખ
સુધરાવવું,સુધ-રાવ-વું
ઠબ,ઠબ
ચીપટી,ચીપ-ટી
ઉપેક્ષક,ઉ-પેક્-ષક
હંસિણી,હંસિણી
ઉપશમન,ઉપ-શમન
અધિરોહ,અ-ધિરોહ
દેગડી,દે-ગ-ડી
ચંદ,ચં-દ
અવિશ્વસનીય,અ-વિશ્-વસની-ય
પુરાવું,પુ-રા-વું
અલ્પપ્રાણ,અલ્-પપ્રાણ
છળવિદ્યા,છળવિદ્યા
નુસખો,નુ-સખો
ધ્રુસકો,ધ્રુસ-કો
બાલભાષા,બાલભા-ષા
ખરસલી,ખરસલી
આડતિયો,આ-ડતિ-યો
નારાસ્ત,ના-રાસ્-ત
તરિંગ,તરિંગ
અદનું,અદનું
અભક્ષણ,અ-ભક્-ષણ
ભૂંભૂં,ભૂંભૂં
બેડોલી,બે-ડોલી
પવિત્રું,પ-વિત્રું
ખટગુણ,ખટ-ગુણ
ચટકં,ચટકં
અંજીરિયું,અં-જીરિ-યું
અચક્ષુગમ્ય,અચક્ષુગમ્-ય
અપહારિત,અપ-હા-રિત
ઍનાઉન્સર,ઍનાઉન્સર
બહિર્ભૂત,બ-હિર્ભૂત
માહિત,મા-હિત
આલિખિત,આલિ-ખિત
વિત,વિત
અનાથાલય,અ-ના-થાલય
આપાતબિદું,આપાત-બિદું
વ્યાખ્યાકાર,વ્યાખ્-યાકાર
વિડંબક,વિ-ડં-બક
ચાંદ્રાયણ,ચાંદ્રા-યણ
અઘણખાડ,અ-ઘણખાડ
ઊણમ,ઊ-ણમ
કસુતરું,ક-સુત-રું
અથીર,અથીર
અવામ,અ-વામ
અવાચક,અ-વા-ચક
હંસમાળા,હંસ-મા-ળા
અટળ,અટળ
અર્હ્ય,અર્હ્-ય
વાયદાચિઠ્ઠી,વાયદાચિઠ્ઠી
સ્વપ્નદ્દષ્ટા,સ્વપ્-નદ્-દષ્-ટા
છાતરક,છાતરક
બૅરોગ્રાફ,બૅરોગ્રાફ
શોથ,શોથ
ઘણણણ,ઘણણણ
તુનતુની,તુનતુની
એકકેસરી,એક-કેસ-રી
દારક,દારક
નખોદિયું,નખોદિયું
ચટાં,ચટાં
ધંધૂકા,ધંધૂકા
મતપદ્ધતિ,મતપ-દ્ધતિ
લઠ્ઠાકાંડ,લઠ્ઠાકાંડ
અસ્મરણ,અ-સ્મરણ
ખવાબ,ખ-વાબ
અભિવાંછના,અ-ભિવાંછના
ગાયબ,ગાયબ
લેખવું,લે-ખ-વું
અષ્ઠિફળ,અષ્-ઠિફળ
કકડધજ,ક-કડધજ
અનાડી,અ-ના-ડી
તબો,તબો
પુસ્તકારૂઢ,પુસ્-ત-કારૂ-ઢ
કર્ણપિશાચ,કર્-ણ-પિ-શાચ
ગુનાજીવી,ગુ-નાજી-વી
છિપોલી,છિપોલી
નર્મવૃત્ત,નર્-મવૃત્-ત
મુકુંદ,મુકુંદ
ભૂકરી,ભૂક-રી
હિમપર્વત,હિમ-પર્-વત
મડમ,મડમ
ચેંચી,ચેંચી
મીઠાબોલું,મી-ઠાબો-લું
તરવંક,તરવંક
પાસવું,પાસ-વું
મેંદી,મેંદી
આંઢેડી,આંઢેડી
અનેકદેશીય,અ-નેકદે-શીય
ભૂમિયું,ભૂ-મિયું
ગોત્રહા,ગો-ત્-ર-હા
જળતરંગ,જળ-ત-રંગ
દેશભક્ત,દેશભક્ત
સત્ત્વસ્થતા,સત્ત્-વસ્-થતા
બુંદી,બુંદી
સેન્ટ,સેન્ટ
શ્રીરામ,શ્રીરામ
કુમરકલા,કુ-મરક-લા
અપકાર,અપ-કાર
અડદોટું,અડ-દોટું
અલીફ,અ-લીફ
સ્વયંશિક્ષણ,સ્વ-યં-શિક્-ષણ
પ્રતીહારી,પ્ર-તીહા-રી
કારીગીરી,કા-રીગી-રી
નળિયેલ,ન-ળિયેલ
પાત્ર,પાત્-ર
અવ્યાજ,અવ્યાજ
અગ્રવર્તી,અગ્ર-વર્તી
સાથરિયો,સા-થરિ-યો
છાયાજોશી,છા-યાજોશી
અષ્ટપાર્શ્વી,અ-ષ્-ટ-પાર્શ્-વી
તંતેતંત,તંતેતંત
સંઘટન,સં-ઘટન
ટાઢાશ,ટાઢાશ
કાનફૂસિયું,કાનફૂસિયું
અંખી,અંખી
ચીંથરી,ચીંથ-રી
છોરો,છોરો
ચળકાવવું,ચળ-કાવ-વું
સ્થાને,સ્થાને
અતિમાનુષી,અ-તિમાનુષી
આંટોઆમળો,આંટો-આમ-ળો
માતૃકા,માતૃકા
પુનર્લેખન,પુ-નર્-લે-ખન
અપયશ,અપયશ
જનમકુંડળી,જનમ-કું-ડ-ળી
ઉટંગી,ઉટંગી
શ્રીમત્તા,શ્રી-મત્-તા
નંદાવવું,નં-દાવ-વું
ઝીકણ,ઝીકણ
મૈયા,મૈયા
કદલીસ્તંભ,કદ-લીસ્તં-ભ
રાજાજ્ઞા,રા-જાજ્-ઞા
ભોંયતરવડ,ભોંયતર-વડ
પરિવૃત્ત,પ-રિવૃત્-ત
વજેદાર,વજેદાર
ભોટીલું,ભો-ટી-લું
શ્યાન,શ્યાન
અલિઝંકાર,અલિઝંકાર
આપકરમી,આપકર-મી
અલગતાવાદ,અ-લગ-તા-વાદ
સચિત્તતા,સચિત્-તતા
મઠિયો,મઠિયો
કૂમચી,કૂ-મ-ચી
હકડેઠઠ,હકડેઠઠ
પાવનકારિણી,પાવન-કા-રિ-ણી
ઝાડપંચાળું,ઝાડપં-ચાળું
રણિત,ર-ણિત
અંજી,અંજી
વૈષ્ણવાસ્ત્ર,વૈષ્-ણ-વાસ્-ત્-ર
ઑફસેટ,ઑફસેટ
સંભાવિત,સં-ભા-વિત
અંગેઅંગ,અં-ગેઅં-ગ
સામાજિકતા,સા-માજિક-તા
આદેસર,આ-દે-સર
આમપાત્ર,આમ-પાત્-ર
બળપ્રદ,બળ-પ્ર-દ
ઊચકી,ઊ-ચ-કી
સુફળા,સુ-ફ-ળા
ત્રાહિ,ત્રા-હિ
અપધ્વંસ,અપધ્વંસ
અંધવિશ્વાસ,અં-ધ-વિશ્-વાસ
આયુધ,આયુધ
છેકાછેકી,છેકાછેકી
સુજાડવવું,સુજા-ડવ-વું
ધોળાં,ધોળાં
શૂલપાણ,શૂલ-પાણ
ચારિત્રગઠન,ચા-રિત્-ર-ગ-ઠન
જયેષ્ઠા,જ-યેષ્-ઠા
કોટેશન,કોટેશન
સંગીતિ,સં-ગીતિ
રજોઠિયું,રજોઠિયું
ગંધકામ્લ,ગંધકામ્લ
કટિત્રાણ,કટિત્રાણ
આલીલીલી,આલીલીલી
નવપલ્લવું,નવપલ્-લ-વું
સ્માર્ટ,સ્-માર્ટ
એકછત્ર,એક-છત્-ર
અંતર્નાદ,અં-તર્ના-દ
હેરક,હેરક
શશિમુખી,શ-શિમુ-ખી
ટંગા,ટંગા
ક્ષરાવવું,ક્-ષરાવ-વું
ડોલકાચિંડો,ડોલ-કા-ચિં-ડો
મૂર્ધન્યતર,મૂર્ધન્યતર
અસ્થિકેંદ્ર,અ-સ્થિકેંદ્ર
સોત્સાહ,સો-ત્-સા-હ
સેલ્યુલોઝ,સેલ્યુલોઝ
પીડાહરણી,પી-ડાહર-ણી
કસબચોરી,કસ-બ-ચો-રી
ઑસ્મિયસ,ઑસ્મિય-સ
શુક્કરિયા,શુક્કરિયા
કાલકલાઈ,કાલક-લાઈ
ઊર્મિલ,ઊર્-મિલ
સંતોકવું,સં-તોક-વું
કાળીલાય,કા-ળીલા-ય
સમાહિતતા,સ-મા-હિતતા
ઇમ્યુનિટી,ઇમ્યુનિટી
દીર્ઘદ્દષી,દીર્-ઘદ્-દષી
દડિયું,દ-ડિ-યું
રંગોળિયું,રં-ગોળિ-યું
ઉચ્ચવર્ણી,ઉચ્-ચવર્-ણી
લલવટ,લલવટ
વેચણી,વે-ચણી
શાપિત,શા-પિ-ત
અફળા,અફ-ળા
પેધાડવું,પે-ધાડ-વું
લીલુંકચ,લી-લુંકચ
પ્રત્યુપાય,પ્રત્-યુપાય
આનુષંગિકતા,આનુષંગિક-તા
કૂણી,કૂણી
ડપકો,ડપ-કો
આક્ષેપી,આક્ષેપી
નકતી,નક-તી
ગુલાબજાંબુ,ગુ-લાબજાં-બુ
આંત્ર,આં-ત્-ર
ધમપછાડ,ધમ-પ-છાડ
યમયાતના,યમ-યાત-ના
છીચી,છીચી
કોચ,કોચ
અમ્લવેતસ,અ-મ્-લવે-તસ
સૂક્ષ્મેક્ષિકા,સૂક્-ષ્મે-ક્-ષિ-કા
નવાવું,ન-વા-વું
વિશ્રમવું,વિશ્રમ-વું
પંચવટી,પંચવટી
અલોઘ,અ-લોઘ
એકલપંડું,એકલપંડું
શ્લેષાર્થી,શ્-લેષાર્-થી
ઓળંબો,ઓ-ળંબો
દ્દશ્યમાન,દ્-દશ્-ય-માન
તૂકબંધી,તૂક-બં-ધી
અવશી,અવશી
અટામણ,અટામણ
ટોપરાપાક,ટોપ-રાપાક
સુલફાક,સુ-લફાક
અપુત્રિયું,અપુત્રિ-યું
સર્વગ્રાહિત્વ,સર્-વ-ગ્રા-હિ-ત્-વ
ધાડિયું,ધા-ડિ-યું
તીખાટ,તીખાટ
હબીબ,હબીબ
દોડાદોડી,દો-ડા-દોડી
બહુગંધા,બ-હુગં-ધા
ઉકાણાવું,ઉ-કાણા-વું
માથાબંધણું,મા-થાબંધણું
તરવેણી,તર-વે-ણી
હસાહસી,હ-સા-હસી
હરાડું,હ-રાડું
યાને,યાને
ઇચ્છાબળ,ઇચ્-છાબળ
ગૂંચવાડો,ગૂંચ-વા-ડો
અસ્ફુટિત,અ-સ્ફુટિત
અવલોકનશક્તિ,અવ-લોકન-શક્તિ
ધબાલું,ધબાલું
આતમપ્યાસું,આતમપ્યાસું
ફડદું,ફડ-દું
ફેબલ,ફેબલ
ત્રિવેણિસંગમ,ત્રિ-વે-ણિસં-ગમ
ભેદપ્રભેદ,ભેદપ્રભેદ
આળાલોચ,આ-ળાલો-ચ
લૂટફાટ,લૂટફાટ
શીડવું,શી-ડ-વું
છાણપૂંજો,છાણપૂં-જો
એલચીખાતું,એલ-ચીખા-તું
જિમ્નેસિયમ,જિ-મ્-નેસિ-યમ
અશ્વારોહી,અશ્-વા-રોહી
રોખું,રોખું
વિઘ્નનાશક,વિઘ્ન-નાશક
કૅથોડ,કૅથોડ
આદરપાત્ર,આ-દર-પાત્-ર
ઝુકાવું,ઝુ-કા-વું
વિચારકોણ,વિ-ચાર-કોણ
સ્થલપરિચય,સ્-થલ-પ-રિ-ચ-ય
નળ,નળ
મેઘવાળ,મેઘ-વાળ
રિઝવણી,રિ-ઝવ-ણી
આઠપાનિયું,આઠપાનિયું
નાલકી,ના-લ-કી
વિષાદી,વિ-ષાદી
મીમાંસક,મીમાંસક
ફરફરાટ,ફર-ફ-રાટ
તાપી,તાપી
અસામાન્ય,અ-સા-માન્-ય
ડાકિયું,ડા-કિ-યું
શિહાઈ,શિહાઈ
અંતર્ગોલ,અં-તર્ગોલ
અયન,અયન
દૂષણ,દૂ-ષણ
વઘળવું,વઘળ-વું
સન્નારી,સન્-ના-રી
છટિયું,છ-ટિ-યું
અંધારપછેડી,અં-ધાર-પ-છે-ડી
પરમારથુ,પર-માર-થુ
ઉતરાણ,ઉ-ત-રાણ
આચ્છન્ન,આચ્-છન્-ન
જિતાવવું,જિ-તા-વ-વું
શેલવો,શે-લ-વો
ખડાઉ,ખ-ડાઉ
જુતાવવું,જુ-તા-વ-વું
લાંભુ,લાંભુ
ભચરડાવું,ભ-ચર-ડા-વું
આજ્ઞાધારી,આજ્-ઞાધા-રી
થથેડાવું,થ-થેડા-વું
ખૂંટણ,ખૂંટણ
વરોરુ,વ-રોરુ
કળણ,કળણ
અણશમ્યું,અણશમ્યું
એલચીદોડો,એલ-ચીદો-ડો
ચરણવું,ચરણ-વું
જાડિયું,જા-ડિ-યું
ખોળાધરી,ખો-ળાધ-રી
અભિષેક,અ-ભિ-ષેક
અષ્ટાવું,અષ્-ટા-વું
ભેળીસાડો,ભેળીસાડો
ચાપલ્ય,ચાપલ્-ય
જિંગોડી,જિંગોડી
મઘવા,મ-ઘ-વા
અનુપસ્થ,અ-નુ-પસ્-થ
આંત્રલવ,આં-ત્-ર-લવ
અસંબાધ,અ-સંબાધ
અઠ્ઠાવીસાં,અઠ્ઠાવીસાં
થાઈરૉઈડ,થાઈરૉઈડ
હયશાળા,હ-યશા-ળા
બફાવવું,બ-ફા-વ-વું
તરિયાંતોરણ,ત-રિ-યાંતો-રણ
કૂંદવો,કૂંદવો
દેશવ્યવહાર,દેશ-વ્યવ-હાર
અણગોઠવ્યું,અણ-ગો-ઠવ્યું
વનવેલી,વન-વે-લી
છેદ્ય,છેદ્ય
તૈલંગી,તૈલંગી
યામિનીનાથ,યામિનીનાથ
નાકાબંદી,ના-કાબંદી
પસારાવવું,પસા-રાવ-વું
ભૂતલ,ભૂતલ
ગર્દાબાદ,ગર્દાબાદ
સ્વાભાવિકતા,સ્વા-ભા-વિક-તા
આદ્યબીજ,આદ્યબીજ
કંઠદ્વાર,કંઠદ્વાર
કચ્છ,ક-ચ્-છ
કલિંગડો,ક-લિંગ-ડો
અભિનીત,અ-ભિનીત
ફોરમૅન,ફોરમૅન
અણોદરું,અ-ણોદ-રું
અસત્સંગ,અ-સત્-સં-ગ
એક્સૂરું,એક્સૂરું
સોવાવું,સો-વા-વું
ઉસૂલન,ઉસૂલન
કરપુટ,કર-પુટ
આસક્ત,આસક્ત
બક્ષિશવેરો,બક્-ષિશ-વે-રો
અવિજ્ઞા,અ-વિજ્-ઞા
દ્વિરેફ,દ્વિરેફ
કરારબદલો,ક-રાર-બદ-લો
સ્થિતિશાસ્ત્ર,સ્થિ-તિ-શાસ્-ત્-ર
વિચ્છિત્તિ,વિચ્-છિત્-તિ
દ્રષ્ટા,દ્રષ્-ટા
શારીરવિદ્યા,શારીરવિદ્યા
ગાફેલિયત,ગાફેલિયત
શુભોપમાલાયક,શુભો-પ-માલા-યક
અર્થપ્રકૃતિ,અર્-થપ્ર-કૃ-તિ
રમી,ર-મી
નિશીથ,નિશીથ
પાટોડી,પાટોડી
અચ્છત,અ-ચ્-છત
વિસંગતતા,વિસં-ગત-તા
અદ્રિકન્યા,અદ્રિકન્યા
સ્ત્રીદાક્ષિણ્ય,સ્-ત્રીદા-ક્-ષિ-ણ્-ય
જીરક,જી-રક
અવિકૃતિ,અવિકૃતિ
સાહસિકતા,સા-હ-સિક-તા
દફતરખાતું,દફતર-ખા-તું
માજન,માજન
તેજોવધ,તેજોવધ
અર્ધવસ્ત્રું,અર્ધવસ્ત્રું
મધુપાલક,મ-ધુપાલક
રંગાટકામ,રંગાટ-કામ
કાળા,કાળા
ઘડૂલિયો,ઘડૂલિયો
હકારદર્શી,હકારદર્શી
પતંજલિ,પ-તંજલિ
બારપેજી,બાર-પેજી
રાજસી,રાજસી
પાપગલી,પાપગ-લી
અથોપો,અથોપો
કાંતિ,કાંતિ
ઓસ,ઓસ
આશાપૂરણ,આ-શાપૂરણ
ગિદરડું,ગિ-દર-ડું
તોળામણ,તોળા-મણ
ધોકડી,ધો-ક-ડી
બુટ્ટીદાર,બુટ્ટીદાર
સર્વદેશી,સર્-વ-દે-શી
ચટાપટી,ચ-ટાપ-ટી
અદ્રિ,અદ્રિ
દ્વિધર્મી,દ્વિધર્મી
ઇંદ્રિયારામી,ઇંદ્રિ-યારા-મી
ડિટેક્ટિવ,ડિટેક્ટિવ
કોળિયું,કો-ળિ-યું
જાતિમીમાંસા,જા-તિમીમાં-સા
તત્ત્વાન્વેષી,તત્ત્વાન્વેષી
ધર્મયુદ્ધ,ધર્-મયુદ્ધ
પીલુડી,પીલુડી
ગ્રામજનતા,ગ્રામજન-તા
ડેવલપમેન્ટ,ડેવ-લ-પ-મેન્ટ
તુસીપાટિયાં,તુસીપા-ટિયાં
લગ્નમંડપ,લગ્-નમંડપ
ભૂતપૂર્વ,ભૂત-પૂર્-વ
ઊલઝાવું,ઊલઝા-વું
ખાઈબંધી,ખાઈ-બં-ધી
કાટકૂટ,કાટકૂટ
સંસ્કારહીન,સં-સ્-કાર-હીન
માલિકા,મા-લિ-કા
ઘોરંભો,ઘોરંભો
અલ્પશ્રુત,અ-લ્-પશ્-રુત
ડેપ્યુટેશન,ડેપ્યુટેશન
હસદ,હસદ
ભીમકર્મી,ભીમકર્મી
સળવળ,સળવળ
યાવચ્ચંદ્રદિવાકરૌ,યા-વચ્ચં-દ્રદિ-વાકરૌ
ઉરમાળ,ઉર-માળ
નોધલી,નોધલી
અવકર,અવકર
પ્રભામંડળ,પ્ર-ભા-મંડળ
ગામોટ,ગામોટ
આકાશપુષ્પવત્,આ-કાશપુષ્-પ-વત્
આત્મઘાતકી,આત્-મઘાત-કી
સૅક્શન,સૅક્શન
અંતર્નાટક,અં-તર્-ના-ટક
રાજ્યાધિકાર,રાજ્યા-ધિ-કાર
પૉઝિશન,પૉઝિશન
નટકાર્ય,નટ-કાર્-ય
કાયર,કાયર
આસક્તિ,આસક્તિ
અરવિંદ,અરવિંદ
પંચાગ્નિ,પં-ચાગ્-નિ
હલેસાવું,હ-લેસા-વું
રૂપિયો,રૂ-પિ-યો
અંતરાસ,અં-ત-રાસ
આર્તક,આર્-તક
ગુરાબ,ગુરાબ
ભાભલડી,ભા-ભલ-ડી
ગિરનારો,ગિર-નારો
અભિમાનિતા,અ-ભિ-માનિ-તા
સ્પર્શકાળ,સ્પર્-શ-કાળ
ઘર્ઘર,ઘર્-ઘર
આંગી,આંગી
આત્મવિલય,આત્-મવિ-લય
યુગકાર્ય,યુગ-કાર્-ય
કોઈએક,કોઈએક
ધર્મસંગઠન,ધર્-મ-સં-ગ-ઠન
ધ્રુવમત્સ્ય,ધ્રુવ-મત્સ્-ય
ઝલ,ઝલ
સોરાવટ,સોરાવટ
તૈજસ,તૈજસ
યુક્તિ,યુક્તિ
સંશયાસ્પદ,સં-શયાસ્પદ
અમર્ત્ય,અ-મર્-ત્-ય
સમતત,સ-મતત
વિસ્મરણશીલતા,વિસ્મરણશીલતા
લેફો,લેફો
જાજરૂ,જા-જ-રૂ
સંશયાતીત,સં-શયા-તીત
હરવણ,હર-વણ
ઇંગ્લૅંડ,ઇંગ્લૅંડ
હબહબ,હ-બહ-બ
પત્રલેખા,પત્-રલે-ખા
પ્રારંભ,પ્રારં-ભ
ડાભોડિયું,ડા-ભોડિ-યું
સ્વાતિબુંદ,સ્વાતિબુંદ
અવિયા,અ-વિ-યા
વૈશ્વ,વૈ-શ્-વ
હલાલ,હ-લાલ
બચેરી,બચેરી
નારીજાતિ,ના-રીજા-તિ
જિવારો,જિ-વા-રો
અવિસ્મય,અ-વિસ્મય
આયોજનકલા,આ-યો-જનક-લા
પક્વાન્ન,પક્-વાન્-ન
કવાલી,ક-વા-લી
વલવલિયું,વ-લવ-લિ-યું
ઝળૂંબાવવું,ઝળૂં-બાવ-વું
હૂપ,હૂપ
જગદ્ધાતુ,જ-ગ-દ્ધા-તુ
ધતવું,ધ-ત-વું
કેળડોડો,કે-ળડો-ડો
કર્મણ્યતા,કર્-મણ્-ય-તા
શૌચાલય,શૌચાલય
વારસાહક,વાર-સા-હક
સાજાની,સાજાની
વૈતાલિક,વૈતાલિક
જનસંખ્યા,જન-સં-ખ્-યા
પૂર્વાષાઢા,પૂર્-વાષા-ઢા
સુકડ,સુકડ
અણદાઘ,અણ-દાઘ
અષ્ટાધ્યાયી,અષ્-ટાધ્યાયી
ગ્રસ્તાસી,ગ્રસ્-તા-સી
ઝળહળાટ,ઝળ-હળાટ
કથક,ક-થક
થોથડી,થોથ-ડી
સૌરશક્તિ,સૌ-રશક્તિ
સુચિહ્ન,સુચિહ્ન
ઝોકાવવું,ઝો-કાવ-વું
વક્ષ્યમાણ,વક્-ષ્-ય-માણ
ઘનમાન,ઘન-માન
પક્ષીરાજ,પક્-ષી-રાજ
અનીતિકર,અ-ની-તિકર
બદમાશી,બદ-મા-શી
યજમાનિયું,યજમાનિયું
મેંઢી,મેંઢી
અંડોળ,અંડોળ
બોબાટ,બોબાટ
ફણગી,ફણગી
આંગલુંટોપલું,આંગ-લુંટોપ-લું
ચરચરાટ,ચરચ-રાટ
ત્રાણુ,ત્રાણુ
ડિક્ટેટર,ડિક્ટેટર
કૌચુમાર,કૌચુમાર
ગોલોક,ગોલોક
આગવાઈ,આગ-વાઈ
અખાર,અ-ખા-ર
દ્વિગૃહી,દ્વિગૃહી
નિકૃષ્ટ,નિ-કૃષ્-ટ
કપ્પો,ક-પ્પો
અંતઃપુરુષ,અંતઃપુ-રુષ
ચીંધાવું,ચીં-ધા-વું
ચોખૂંટ,ચોખૂંટ
પોંખ,પોં-ખ
કાયદેસર,કાય-દે-સર
મહિયારણ,મ-હિ-યારણ
ઊથલ,ઊ-થલ
જાળવું,જા-ળ-વું
કોહિસ્તાન,કો-હિસ્-તાન
અમિતાહાર,અમિતાહાર
ચરમ,ચરમ
અસ્વાતંત્ર્ય,અ-સ્વા-તં-ત્ર્-ય
હાઇજિનિક્સ,હાઇજિનિક્સ
ગતિરોધક,ગ-તિ-રોધક
ઉસેટાવું,ઉ-સેટા-વું
ગૅસએંજિન,ગૅસએંજિન
પ્રાકાર,પ્રા-કાર
સોદાબાજી,સો-દાબા-જી
કૂકડેકૂક,કૂકડેકૂક
આત્મેતર,આત્મેતર
કેવળવ્યતિરેકી,કેવળવ્યતિ-રેકી
જોંસો,જોંસો
દરિયાઈ,દ-રિ-યાઈ
જે,જે
ખેંચ,ખેંચ
સાબોટવું,સા-બોટ-વું
માવડી,માવ-ડી
આંગ્લવિદ્યા,આંગ્લવિદ્યા
અમ્લમાપકયંત્ર,અ-મ્લ-માપક-યં-ત્-ર
ગરિષ્ઠ,ગ-રિષ્ઠ
ક્રમ,ક્રમ
ઢોરઢાંખર,ઢોરઢાંખર
ગોરજી,ગોર-જી
ટેલિગ્રામ,ટેલિગ્રામ
વિપ્રલંભી,વિપ્રલંભી
અધિકોષ,અ-ધિકોષ
નોંધલું,નોંધલું
ધડાકાભડાકા,ધ-ડા-કાભ-ડાકા
ભખળ,ભખળ
આકર્ણ,આ-કર્-ણ
પાવઈ,પાવઈ
વાધણી,વા-ધ-ણી
અનંતર,અ-નં-તર
કામતાઈ,કામતાઈ
કાદવકીચડ,કા-દવ-કીચડ
બિહાગડો,બિ-હાગ-ડો
કોતરાવું,કો-ત-રા-વું
પપીલ,પપીલ
સર્જનજૂનું,સર્-જન-જૂ-નું
ચલવાવવું,ચ-લ-વાવ-વું
અંતર્ધાન,અં-તર્-ધાન
મૂઢ,મૂઢ
કગરવું,ક-ગર-વું
ગહેકાવવું,ગહે-કાવ-વું
હસ્તામલક,હસ્-તા-મલક
અલિજિહ્વા,અલિજિહ્વા
ચિદ્ધાતુ,ચિ-દ્ધા-તુ
કોર્ટમાર્શલ,કોર્-ટ-માર્-શલ
પરોક્ષઉપપત્તિ,પ-રોક્-ષઉપ-પત્-તિ
દીવાનેખાસ,દી-વાનેખાસ
આચરિત,આ-ચ-રિત
ઠમઠમવું,ઠમઠમ-વું
હૃદયવૃદ્ધિ,હૃ-દયવૃદ્ધિ
યલો,યલો
અર્થાપત્તિ,અર્થા-પત્-તિ
હે,હે
જમીલ,જ-મીલ
અસ્મરણીય,અ-સ્મર-ણીય
શ્રાદ્ધદિન,શ્રાદ્ધદિન
તરવરાવવું,તર-વ-રા-વ-વું
જેન્ટલમેન,જેન્ટલમેન
ગલતફહમી,ગલતફહમી
આરંભદ્રવ્ય,આ-રં-ભદ્ર-વ્ય
ખીજવું,ખી-જ-વું
પ્રજ્વલમાન,પ્રજ્વ-લ-માન
વિતરક,વિતરક
આકારવું,આ-કાર-વું
વૈરિતા,વૈરિતા
ખરીદી,ખ-રીદી
વીંછુડો,વીંછુડો
ક્ષાત્રવૃત્તિ,ક્-ષાત્-ર-વૃત્-તિ
ઘોડાઘાટડી,ઘો-ડાઘાટ-ડી
પુરપાટ,પુર-પાટ
ખેલો,ખેલો
સૌનંદી,સૌનંદી
ધખધખાવવું,ધખધખાવ-વું
અનિહત,અ-નિહત
ઢોંચ,ઢોંચ
ઉપેંદ્ર,ઉપેંદ્ર
નિકસાવવું,નિક-સાવ-વું
વિવિધમુખી,વિ-વિધમુ-ખી
શકનિયાળ,શકનિ-યાળ
દ્દક,દ્-દક
પીનસ,પીનસ
કાંઠી,કાંઠી
આત્મવિદ્યા,આત્મવિદ્યા
પરુષતા,પ-રુષ-તા
પીપી,પીપી
હુઓ,હુઓ
યંત્રસાળ,યં-ત્-ર-સાળ
એકાગ્ર,એ-કાગ્ર
શીતળાસાતમ,શીત-ળાસાતમ
ખેલવણું,ખેલવણું
દાંદરું,દાં-દ-રું
પચપચું,પચ-પ-ચું
રોહિતાશ્વ,રો-હિતાશ્-વ
અન્નનુંમાર્યું,અન્-ન-નું-માર્યું
શુભંકર,શુભંકર
નટડી,નટ-ડી
યુનિટ,યુનિટ
ઈમાની,ઈ-મા-ની
સાંથી,સાંથી
શૂદ્રાણી,શૂ-દ્રા-ણી
બલાબળ,બ-લાબળ
અમંત્રવિદ,અ-મં-ત્-ર-વિદ
